restaurant_name,restaurant_logo,latitude,longitude,cuisine_tags,menu_items

"Gino's Deliin Jumeirah Lakes Towers - JLT, UAE",https://images.deliveryhero.io/image/talabat/restaurants/logo_-_2021-11-23T17_637732788146540497.jpg?width=180,24.2075,55.74472,"['Sandwiches', 'Pasta', 'Italian']","[""Gino's Meal for One"", ""Gino's Meal for 2"", 'Family Meal (Serves 4)', 'Appetizer Share Box', 'Any 3 Panuozzo', 'Ginos Chicken Strips', 'Sweet Potato Fries', 'Ginos Potato Wedges', 'Mozzarella Balls', 'Garlic Bread & Mozzarella', ""Gino's Chicken Wings (6)"", 'Arancini', 'Quinoa Greco Salad', 'Italian Chicken Pasta Salad', 'Ginos Chicken Caesar Salad', 'Tomato & Mozzarella (Sandwich)', 'Salami Melt (Sandwich)', 'Fire Chicken BBQ (Sandwich)', 'Chicken Pesto Mozzarella (Sandwich)', 'Italian Meatball (Sandwich)', 'Bresaola & Rocket (Sandwich)', 'Butter Chicken & Burrata (Sandwich)', 'Halloumi & Roast Vegetables (Sandwich)', 'Chipotle Cheesesteak (Sandwich)', 'Buffalo Chicken (Sandwich)', 'Tuna Mayo (Sandwich)', 'BBQ Honey Mustard (Sandwich)', 'Classic Reuben (Sandwich)', 'The Rebecca (Sandwich)', 'Brooklyn Hero (Sandwich)', 'Spaghetti Bolognese', ""Gino's Penne Alfredo"", 'Penne Calabrese', ""Mac'n'Cheese"", ""Gino's Gnocchi"", 'Buffalo Ranch (30ml)', 'Sundried Tomato Marinara (30ml)', 'Garlic & Herb (30ml)', 'BBQ Honey Mustard (30ml)', 'Chipotle Mayo (30ml)', 'Sweet Chili (30ml)', 'Smoky BBQ (30ml)', 'Marie Rose (30ml)', 'Ginos Tiramisu', 'Chocolate Fudge Brownie', 'Banana Caramel Pudding', 'Arwa Water (500ml)', 'Coca Cola (250ml)', 'Coke Zero (250ml)', 'Sprite (250ml)', 'Fanta (250ml)']"

"Pasta Della Nonnain Jumeirah Lakes Towers - JLT, UAE",https://images.deliveryhero.io/image/talabat/restaurants/Logos_PastaDellaNonna_Sec637794192311679134.jpg?width=180,24.2075,55.74472,"['Italian', 'Pasta', 'Salad']","[""Nonna's Meal for 1"", ""Nonna's Meal for 2"", ""Pasta Party Pack - Any 4 pasta's"", ""Nonna's Chicken Strips"", 'Chili Cheese Bites', ""Nonna's Sweet Potato Fries"", 'Homemade Garlic Bread & Mozzarella', ""Nonna's Chicken Wings (6) - BBQ"", ""Nonna's Chicken Wings (6) - Buffalo"", 'Tuscan Chicken Pasta Salad', ""Nonna's Grilled Chicken Caesar Salad"", 'Sicilian Tuna Pasta Salad', 'Insalata Caprese', ""Nonna's Spaghetti Bolognese"", 'Tagliatelle Della Mamma', 'Penne Alfredo', 'Gnocchi Alla Quattro Formaggi', 'Tortelloni Della Nonna', 'Fusili Bianco Rosso', 'Penne Pink', 'Penne Calabrese', 'Penne Arrabbiata', 'Tagliatelle Al Tartufo', 'Create your Own Pasta', 'Lasagna Al Forno Bolognese', 'Lasagna Di Pollo', 'Bambino Bolognese', 'Bambino Pomodoro', ""Mac'n'Cheese"", 'Chicken Nuggets & Wedges', ""Nonna's Chocolate Fudge Brownie"", ""Nonna's Chocolate Chip Cookie"", ""Nonna's Banana Caramel Pudding"", ""Nonna's Toffee Sponge Cake"", ""Nonna's Homemade Tiramisu"", 'Arwa Water (500ml)', 'Coca Cola (290ml)', 'Coke Zero (290ml)', 'Fanta (290ml)', 'Sprite (290ml)']"

"Pizzaroin Jumeirah Lakes Towers - JLT, UAE",https://images.deliveryhero.io/image/talabat/restaurants/pizzaro_logo_2_(500x_637901901529791866.jpg?width=180,24.2075,55.74472,"['Italian', 'Pizza', 'Pasta']","['Mixed Seafood Pizza BOGO', '4 Cheese Pizza BOGO', 'Hawaiin Pizza BOGO', 'Buratta Cheese Pizza BOGO', 'Bufala Cheese with Sundried Tomato Pizza BOGO', 'All Meat Pizza BOGO', 'Two Way Pizza', 'Classic Margherita Pizza', 'Margherita with Bufala Mozzarella Pizza', 'Spicy Italian Pepperoni Pizza', 'Pepperoni Jalapeño Pizza', 'Bufalla Cheese with Sundried Tomato Pizza', 'Eggplant and Parmesan Pizza', '4 Cheese Pizza', 'Hawaiian Pizza', 'Mix Vegetables Pizza', 'Burrata Cheese Pizza', 'Truffle Pizza', 'All Meat Pizza', 'Burrata Mushroom Pizza', 'Turkey & Artichokes Pizza', 'Mixed Seafood Pizza', 'Whole Wheat Spicy Chicken Pizza', 'Buffalo Chicken Pizza', 'Chicken Jalapeño Pizza', 'BBQ Chicken Pizza', 'Steak Pizza', 'Crispy Turkey Ham Pizza', 'Funghi Supreme Pizza', 'Ranch Chicken Pizza', 'Shawarma Pizza', 'Short Ribs Pizza', 'Mac & Cheese Balls', 'Fried Prawns with Spicy Sauce', 'Deep Fried Calamari', 'Deep Fried Potato & Cheese Balls', 'Shrimps Skewers', 'Deep Fried Mozzarella Sticks', 'BBQ Style Chicken Wings', 'Baked Garlic Bread', 'Skin-On Fries', 'Potato Wedges with Garlic and Rosemary', 'Cajun Fries', 'Deep Fried Chicken Balls', 'Buffalo Chicken Wings', 'Buffalo Chicken Balls', 'Pink Chicken Pasta', 'Traditional Home-Style Lasagna Pasta', 'Seafood Linguine Pasta', 'Penne with Mushroom and Chicken Pasta', 'Ravioli Filled with Mushroom & Ricotta Pasta', 'Spaghetti Pasta with Turkey Ham and Carbonara Sauce', 'Penne with Spicy Arrabiata Sauce', 'Spaghetti Bolognese', 'Cajun Shrimp Pasta', 'Pizzaro Signature Chicken Salad', 'Rucola and Mozzarella Salad', 'Seasonal Mixed Salad with Parmesan', 'Mediterranean Feta Salad', 'Healthy Kale Salad', 'Burrata Salad', 'Pumpkin Soup with Prawns', 'Mushroom Soup', 'Nutella Pizza', 'Traditional Tiramisu', 'Triple Chocolate Mousse', 'Italian Cheesecake', 'Classic Brownies', 'Pepsi', 'Diet Pepsi', '7Up', 'Diet 7Up', 'Mirinda', 'Mountain Dew', 'Al Ain Water Small', 'Al Ain Water Large']"

"The Pasta Guyzin Jumeirah Lakes Towers - JLT, UAE",https://images.deliveryhero.io/image/talabat/restaurants/ThePastaGuyz-Logo_637563263478806436.jpg?width=180,24.2075,55.74472,"['Italian', 'Pasta']","['Cheesy Garlic Bread (Vegetarian)', 'Arancini', 'Crispy Calamari', 'Bruschetta (Vegetarian)', 'Caesar Salad (Vegetarian)', 'Caesar Salad with Grilled Chicken', 'Penne Pomodoro', 'Spaghetti Bolognese', 'Spaghetti Puttanesca', 'Pappardelle Alfredo', 'Tagliatelle Sriracha Shrimp', 'Tuscan Chicken Mac & Cheese', 'Gnocchi Gorgonzola', 'Gnocchi Genovese', 'Gnocchi Pomodoro', 'Wild Mushroom Risotto', 'Green Goddess Risotto', 'Penne Pomodoro (Vegetarian)', 'Gnocchi Gorgonzola (Vegetarian)', 'Gnocchi Genovese (Vegetarian)', 'Gnocchi Pomodoro (Vegetarian)', 'Green Goddess Risotto (Vegetarian)', 'Unicorn Mac & Cheese', 'Old-fashioned Lemonade (Vegetarian)', 'Strawberry Lemonade (Vegetarian)', 'Watermelon Lemonade (Vegetarian)', 'Pepsi', 'Diet Pepsi', '7 Up', 'Diet 7 Up', 'Mirinda', 'Water (Vegetarian)']"

"Pizza Di Roccoin Jumeirah Lakes Towers - JLT, UAE",https://images.deliveryhero.io/image/talabat/restaurants/PDR_WineRed_Logo_637661895331887248.jpg?width=180,24.2075,55.74472,"['Pizza', 'Pasta', 'Italian']","['Meal for One', 'Meal for 2', 'Appetiser Sharing Box', 'Appetiser Sharing Box', 'BBQ Brisket', 'BBQ Brisket', 'Oven-baked Garlic Bread & Mozzarella', 'Oven-baked Garlic Bread & Mozzarella', 'Fattoria', 'Fattoria', 'Garlic Pesto Shrimp', 'Garlic Pesto Shrimp', 'Banana Caramel Pudding', 'Banana Caramel Pudding', 'Tender Chicken Strips', 'Seasoned Potato Wedges', 'Calamari Fritti', 'Bruschetta', 'Mozzarella Fritta', 'Homemade Italian Meatballs', 'Tomato & Basil Soup', 'Insalata Di Rocco', 'Grilled Chicken Caesar', 'Organic Quinoa Greco', 'Fusili Chicken Salad', 'Insalata Sparta', 'Insalata Caprese', 'Garden Salad', 'Create your own SALAD', 'Create your own SALAD', 'Margherita', 'Funghi', 'Verdure', 'Diavola', 'Regina', 'Bresaola', 'Quattro Formaggi', 'Quattro Stagioni', 'Siciliana', 'Tonno', 'Buffalo Fried Chicken', 'Pollo Piccante', 'Carnivora', 'Pollo Pesto', 'Italia', 'Chipotle Cheesesteak', 'Burrata', 'Paneer Tikka', 'Tartufo', 'Chicken Tikka New', 'Create your own PIZZA', 'Create your own PASTA', 'Vegan Margherita', 'Vegan Funghi', 'Vegan Verdure', 'Ortolana', 'Zucca', 'Beyond Baja', 'Spaghetti Bolognese', 'Penne Alfredo', 'Penne Arrabiata', 'Gnocchi Genovese', 'Tagliatelle Calabrese', 'Gnocchi Truffle', 'Lasagna Al Forno', 'Lasagna Vegetariana', 'Garlic & Herb (30ml)', 'Chipotle Mayo (30ml)', 'BBQ Honey Mustard (30ml)', 'Sundried Tomato Marinara (30ml)', 'Buffalo Ranch (30ml)', ""Rocco's Basil Pesto (30ml)"", 'Smoky BBQ (30ml)', 'Sweet Chili (30ml)', 'Marie Rose (30ml)', 'Roast Garlic EVOO (30ml)', ""Rocco's Chili EVOO (30ml)"", 'Truffle Infused EVOO', 'Tiramisu', 'Homemade Chocolate Fudge Brownie', 'Toffee Hazelnut Sponge', 'Stuffed Choc Chip Cookie', 'Pizza Lulu', 'Belgian Chocolate Mousse', 'Fresh Orange Juice', 'Fresh Lemon & Mint', 'Coca Cola', 'Coca Cola (Zero)', 'Sprite', 'Sprite Zero', 'Fanta Orange', 'Arwa (500ml)', 'Acqua Panna Small (250ml)', 'San Pellegrino Small (250ml)']"
